,year,MSA,value,metric
0,2001,Atlanta,0.08922029384722316,cap_rate
1,2001,Baltimore,0.08787783760752832,cap_rate
2,2001,Boston,0.07268375838689131,cap_rate
3,2001,Chicago,0.0789975430909605,cap_rate
4,2001,Dallas,0.08770259450331097,cap_rate
5,2001,Denver,0.0881791208791209,cap_rate
6,2001,Detroit,0.08647861447976493,cap_rate
7,2001,Houston,0.08325766661749788,cap_rate
8,2001,LosAngeles,0.07598349372397972,cap_rate
9,2001,Miami,0.08103271374517967,cap_rate
10,2001,Minneapolis,0.08380516528775797,cap_rate
11,2001,NewYork,0.08360510153792095,cap_rate
12,2001,Philadelphia,0.09293483015223923,cap_rate
13,2001,Phoenix,0.08570940466795886,cap_rate
14,2001,SanDiego,0.07330864201342951,cap_rate
15,2001,SanFrancisco,0.0674799814858144,cap_rate
16,2001,Seattle,0.0822429615072417,cap_rate
17,2001,StLouis,0.08360951903938821,cap_rate
18,2001,Tampa,0.08735809043454958,cap_rate
19,2001,WashingtonDC,0.0905001854959018,cap_rate
20,2002,Atlanta,0.08598482740539456,cap_rate
21,2002,Baltimore,0.08352969267539359,cap_rate
22,2002,Boston,0.07775773430314563,cap_rate
23,2002,Chicago,0.08098445396331655,cap_rate
24,2002,Dallas,0.0903016251511906,cap_rate
25,2002,Denver,0.08211780361230195,cap_rate
26,2002,Detroit,0.08430245078963175,cap_rate
27,2002,Houston,0.08623720848874346,cap_rate
28,2002,LosAngeles,0.07216801760215275,cap_rate
29,2002,Miami,0.08264872668526865,cap_rate
30,2002,Minneapolis,0.08751955864607462,cap_rate
31,2002,NewYork,0.0761492891602787,cap_rate
32,2002,Philadelphia,0.09812236859525088,cap_rate
33,2002,Phoenix,0.08253246268494598,cap_rate
34,2002,SanDiego,0.07336868018332937,cap_rate
35,2002,SanFrancisco,0.06289142515331889,cap_rate
36,2002,Seattle,0.07849155337672177,cap_rate
37,2002,StLouis,0.08336441584000075,cap_rate
38,2002,Tampa,0.08601320650230683,cap_rate
39,2002,WashingtonDC,0.08494940536787299,cap_rate
40,2003,Atlanta,0.07793711334466033,cap_rate
41,2003,Baltimore,0.07180249639805637,cap_rate
42,2003,Boston,0.07088204207501073,cap_rate
43,2003,Chicago,0.0707487464788152,cap_rate
44,2003,Dallas,0.07982252183065469,cap_rate
45,2003,Denver,0.07490528484431577,cap_rate
